,SUBURB,Mean House Price,Median House Price,Variance House Price,Standard Deviation House Price,SEM House Price,Mean BATHROOMS,Mean BEDROOMS,Mean GARAGE,Mean LAND_AREA,Mean BUILD_YEAR,Mean CBD_DIST,Mean STATION DISTANCE,Mean SELL DATE,Lat_precise,Long_precise,state,postcode
128,GOLDEN BAY,415339.5062,370000,21355167670,146134.0743,16237.11937,1.839506173,3.617283951,2.024691358,831.1604938,1999,53541.97531,10804.93827,2018,-32.4262528,115.7634366,WA,6174
129,GOOSEBERRY HILL,857120.438,785000,92762905020,304570.033,26021.174,2.116788321,3.854014599,2.394160584,3074.19708,1983,17748.17518,8188.321168,2016,-31.9554445,116.0511246,WA,6076
130,GOSNELLS,299551.7241,291000,3710854852,60916.78629,6530.965016,1.540229885,3.471264368,1.850574713,719.7931034,1986,18903.44828,1556.563218,2019,-32.0823022,115.9902668,WA,6110
131,GOSNELLS,299551.7241,291000,3710854852,60916.78629,6530.965016,1.540229885,3.471264368,1.850574713,719.7931034,1986,18903.44828,1556.563218,2019,-32.0823022,115.9902668,WA,6990
132,GREENMOUNT,514081.5217,491250,16657519309,129064.0124,10986.65835,1.572463768,3.565217391,2.057971014,1417.84058,1978,19061.5942,4719.565217,2015,-31.8983463,116.0489523,WA,6056
133,GREENWOOD,512138.6555,510000,8702923408,93289.46033,8551.830807,1.529411765,3.529411765,1.840336134,731.7647059,1978,14821.0084,1982.378151,2018,-31.8248279,115.804795,WA,6024
134,GREENWOOD,512138.6555,510000,8702923408,93289.46033,8551.830807,1.529411765,3.529411765,1.840336134,731.7647059,1978,14821.0084,1982.378151,2018,-31.8248279,115.804795,WA,6924
135,GUILDFORD,750958.8608,660000,1.06622E+11,326529.9411,25977.32731,1.544303797,3.215189873,2.183544304,731.1582278,1943,11792.18354,643.5063291,2015,-31.8989836,115.9718099,WA,6055
136,GUILDFORD,750958.8608,660000,1.06622E+11,326529.9411,25977.32731,1.544303797,3.215189873,2.183544304,731.1582278,1943,11792.18354,643.5063291,2015,-31.8989836,115.9718099,WA,6935
137,GWELUP,863702.1858,860000,38958901204,197380.0932,14590.75634,2.06557377,3.792349727,2.049180328,540.8360656,1999,10906.55738,2286.338798,2017,-31.8692507,115.7962494,WA,6018
138,HAMERSLEY,560256.6529,550000,10523063647,102581.985,9325.635,1.58677686,3.611570248,1.892561983,744.5206612,1977,12210.7438,1649.950413,2017,-31.8514757,115.8137261,WA,6022
139,HAMILTON HILL,500102.5641,495000,11189904928,105782.347,11977.49221,1.435897436,3.153846154,2,780.0769231,1978,16261.53846,5069.230769,2019,-32.0860323,115.7764909,WA,6163
140,HAMILTON HILL,500102.5641,495000,11189904928,105782.347,11977.49221,1.435897436,3.153846154,2,780.0769231,1978,16261.53846,5069.230769,2019,-32.0860323,115.7764909,WA,6963
141,HAMMOND PARK,528643.6792,522500,8511944235,92260.19854,8961.10265,1.962264151,3.811320755,1.952830189,937.1698113,2008,23719.81132,4555.660377,2018,-32.1684435,115.8494387,WA,6164
142,HARRISDALE,546854.4362,525000,19031436995,137954.4744,11301.6709,2.026845638,3.785234899,2.140939597,501.4161074,2010,19996.6443,6779.798658,2018,-32.1176,115.932,WA,6112
143,HAYNES,265126.087,195000,49482828261,222447.3607,20743.32334,1.626086957,3.556521739,1.191304348,2422.278261,2010,23056.08696,2522.521739,2013,-32.1528,115.975,WA,6112
144,HAZELMERE,480822.7848,475000,1.19848E+11,346190.5696,38949.48213,1.443037975,3.35443038,1.962025316,4117.772152,1978,13830.37975,1326,2008,-31.9106188,116.0098025,WA,6055
145,HEATHRIDGE,463023.8281,460000,8256277794,90864.06217,8031.324316,1.4765625,3.578125,1.6484375,694.7265625,1986,23121.09375,1918.117188,2018,-31.759339,115.7579544,WA,6027
146,HELENA VALLEY,609165.6805,585000,29737186672,172444.7351,13264.97962,1.928994083,3.911242604,2.295857988,1720.325444,1997,16970.4142,4134.911243,2016,-31.9200748,116.0343803,WA,6056
147,HENLEY BROOK,615389.201,502500,1.02721E+11,320501.3028,22439.57956,2.039215686,3.950980392,2.387254902,4393.656863,2000,20266.17647,10630.88235,2014,-31.8011091,115.9748448,WA,6055
148,HERNE HILL,608220.1754,452500,1.04962E+11,323977.8997,30343.31041,1.49122807,3.5,1.947368421,16933.29825,1979,21040.12281,7532.096491,2010,-31.8291659,116.0166261,WA,6056
