,SUBURB,r2 Score
260,Kiara,0.17162879659915686
261,Mirrabooka,0.4054499341206458
262,Hamilton Hill,0.3375831227045589
263,Eden Hill,0.46920496036304704
264,Morley,0.4850547339205581
265,Alkimos,0.6917030310029365
266,Marangaroo,0.26844852167799704
267,Alexander Heights,0.5113176110385711
268,Sinagra,0.049164691860782206
269,Beldon,0.0448926137910205
270,Ferndale,0.482078021589473
271,Craigie,0.18113980021926468
272,Port Kennedy,0.4683874667534902
273,Clarkson,0.8151255075896308
274,Hocking,-6.426564720797348
275,Coolbellup,0.270235688507908
276,Midvale,-0.3118327601270743
277,Heathridge,0.44009669397930795
278,Kinross,0.4942202039381073
279,Ashby,0.2832273138222623
280,Aveley,0.6956918363316117
281,Thornlie,0.4699429656404249
282,High Wycombe,0.5323165326137217
283,Beckenham,-2.8530089230754627
284,Butler,0.5531664837389312
285,Westminster,0.25621738980659214
286,Balga,0.15861693720419923
287,Langford,-0.2325839225603763
288,O'Connor,0.13508683036221247
289,South Lake,-0.12574028701553086
290,Huntingdale,0.12255899240587442
291,Lynwood,-0.2852090918618031
292,Nollamara,-0.23577006433224157
293,Lockridge,-0.06496587694975875
294,Ridgewood,0.3420274552760906
295,Beechboro,0.45670070169358634
296,Bertram,0.5205692496907399
297,Orelia,-3.0764774752652118
298,Hillman,0.24720130114980265
299,Koondoola,-0.026940714393379528
300,Cooloongup,0.4230742286940371
301,Girrawheen,0.15891789411702262
302,Leda,0.6183463176777847
303,Seville Grove,0.21152650901798176
304,Calista,0.107308664430524
305,Camillo,0.42290062564987563
306,Merriwa,0.0962483271363147
307,Gosnells,0.18798660271322476
308,Stratton,0.1411162612563741
309,Parmelia,0.36149452986939223
310,Brookdale,-0.08753750934057325
311,Medina,0.07216118771685032
312,Koongamia,-0.1601585147668536
313,Kwinana Town Centre,0.46202837131335217
